0,1,2,3
20190111,0.5,5.5,2
20190107,1.0,9.0,1
20190106,0.75,5.5,2
20190105,0.0,1.0,1
20181225,0.16666666666666666,5.666666666666667,3
20181222,0.0,1.0,1
20181221,0.0,2.0,3
20181220,0.0,2.0,1
20181219,0.35714285714285715,3.0,7
20181216,0.0,5.0,1
20181209,1.0,9.0,1
20181202,0.5,10.0,1
20181122,0.0,3.0,1
20181110,1.0,10.0,1
20181101,0.5,10.0,1
20181021,0.0,1.0,1
20181020,0.5,10.0,1
20181011,1.0,10.0,1
20181006,0.0,3.0,1
20181004,0.25,5.0,2
20180929,1.0,4.0,1
20180924,0.5,5.0,1
20180918,0.0,1.0,1
20180917,0.5,10.0,1
20180904,0.0,2.0,1
20180903,0.0,7.0,1
20180902,0.0,1.0,1
20180830,0.5,6.0,1
20180826,0.0,4.0,2
20180822,0.0,1.0,1
20180816,0.0,2.0,1
20180815,0.25,1.5,2
20180814,0.5,4.0,1
20180813,1.0,3.0,1
20180812,1.0,10.0,1
20180809,0.0,5.5,2
20180729,1.0,8.5,2
20180728,1.0,10.0,1
20180725,0.25,2.0,2
20180721,0.0,1.0,1
20180715,1.0,8.0,1
20180629,0.0,5.0,1
20180628,1.0,10.0,1
20180623,0.0,2.0,1
20180622,1.0,10.0,1
20180616,0.0,1.0,2
20180615,1.0,8.0,1
20180612,1.0,7.0,2
20180610,0.375,4.5,4
20180606,1.0,6.0,1
20180605,0.5,3.5,2
20180604,1.0,10.0,1
20180603,0.0,1.0,2
20180526,0.5,10.0,1
20180522,0.5,5.5,2
20180521,1.0,10.0,1
20180520,0.0,1.0,1
20180519,0.5,10.0,1
20180518,0.5,6.0,2
20180516,0.5,7.0,1
20180515,0.25,3.0,2
20180514,0.5,3.0,2
20180513,0.5,10.0,1
20180509,0.0,5.0,1
20180508,0.5,3.0,2
20180507,0.0,3.5,2
20180506,1.0,8.0,1
20180505,0.5,6.0,1
20180504,0.0,3.5,2
20180503,0.0,2.0,1
20180430,1.0,8.0,1
20180429,0.0,2.5,2
20180425,0.5,5.5,4
20180424,0.75,7.25,4
20180423,0.0,1.0,1
20180422,0.5,4.0,1
20180420,0.0,3.5,2
20180419,1.0,8.0,1
20180418,0.25,1.5,2
20180417,1.0,8.0,1
20180416,0.0,7.0,1
20180415,0.75,7.5,2
20180414,0.4166666666666667,3.0,6
20180413,0.125,1.5,4
20180411,0.0,1.0,1
20180408,0.3333333333333333,3.6666666666666665,3
20180407,0.25,4.25,4
20180405,0.5,6.0,1
20180403,0.0,2.3333333333333335,3
20180402,0.5,4.5,2
20180401,0.0,2.3333333333333335,3
20180331,0.25,2.75,4
20180330,0.5,4.0,3
20180329,0.25,4.5,4
20180328,0.625,4.75,4
20180327,0.2,4.4,5
20180326,0.25,3.75,4
20180325,0.2,3.4,5
20180324,0.75,5.5,2
20180323,0.0,7.0,1
20180322,0.25,4.625,8
20180321,0.19230769230769232,3.769230769230769,13
20180320,0.0,1.0,1
20180317,1.0,7.0,1
20180310,1.0,8.0,1
20180309,0.0,6.0,1
20180304,0.0,6.0,1
20180226,0.0,1.0,1
20180222,0.5,2.0,1
20180220,0.0,1.0,1
20180218,0.0,4.0,1
20180217,1.0,10.0,1
20180214,0.5,4.0,1
20180213,1.0,9.0,2
20180212,0.5,10.0,1
20180209,0.0,4.0,1
20180208,1.0,10.0,1
20180207,1.0,7.0,1
20180205,0.0,9.0,1
20180203,0.0,1.0,1
20180130,1.0,9.0,2
20180128,0.0,7.0,1
20180127,1.0,8.0,1
20180126,0.0,10.0,1
20180125,0.5,8.0,1
20180123,0.25,7.0,2
20180121,1.0,9.0,2
20180119,0.5,8.0,1
20180117,0.5,8.0,1
20180116,0.25,6.0,2
20180115,0.7,8.0,5
20180114,0.5,9.0,2
20180113,0.8333333333333334,9.333333333333334,3
20180112,0.5,5.5,2
20180111,0.5,5.5,2
20180110,0.75,9.5,2
20180109,0.0,3.0,1
20180108,0.75,7.0,4
20180107,0.8,8.4,5
20180106,0.6,7.6,10
20180105,0.6666666666666666,6.833333333333333,6
20180104,0.4,7.2,5
20180103,0.5,7.285714285714286,7
20180102,0.6,6.8,5
20180101,0.5909090909090909,7.909090909090909,11
20171231,0.6666666666666666,7.333333333333333,15
20171230,0.42857142857142855,6.571428571428571,7
20171229,0.6666666666666666,6.5,12
20171228,0.75,7.666666666666667,12
20171227,0.6538461538461539,7.538461538461538,13
20171226,0.6071428571428571,7.571428571428571,14
20171225,0.5882352941176471,7.294117647058823,17
20171224,0.6176470588235294,7.0588235294117645,34
20171223,0.5357142857142857,7.464285714285714,28
20171222,0.7285714285714285,7.571428571428571,35
20171221,0.5483870967741935,5.967741935483871,31
20171220,0.5476190476190477,6.619047619047619,42
20171219,0.46511627906976744,5.8604651162790695,43
20171218,0.4583333333333333,5.895833333333333,48
20171217,0.538961038961039,6.3896103896103895,77
20171216,0.5084745762711864,6.406779661016949,59
20171215,0.5566037735849056,6.528301886792453,53
20171214,0.48360655737704916,5.868852459016393,61
20171213,0.4883720930232558,6.023255813953488,86
20171212,0.43243243243243246,5.1891891891891895,74
20171211,0.5111940298507462,5.940298507462686,134
20171210,0.6741424802110818,7.799472295514512,379
20171209,0.6422287390029325,7.316715542521994,341
20171208,0.7050359712230215,8.431654676258994,417
20171207,0.7260061919504643,8.275541795665635,323
